,Username,Location,Age,Sex
26,IAmMyOwnWife, Newark , 35-49 , Female  
27,Polly 7089, New York City ,, Female
28,PattiVill, Union City , 35-49 , Female      
29,WH, Garden City , 50-64 , Male  
30,Janet Bo Banet, New York City , 35-49 , Female  
31,Theatre Reviews, New York City,,
32,Stephen 6211, Teaneck,,
33,J, New York City ,, Female
34,TheaterGuy, Manhattan , 35-49 , Male  
35,Teresa 6209, New York City,,
36,Dan Q, Brooklyn , 35-49 , Male       
37,Nic, New York City ,, Female
38,adith1801, Brooklyn , 25-34 , Male     
39,Ninwall, Manhattan , 50-64 , Female  
40,Steve 6053, Valley Stream , 50-64 , Male  
41,Gilbert D., Hutchinson , 25-34 , Male    
42,Zach S 6165, New York City , 18-24,     
43,Theatre Cat, New York City , 25-34 , Female  
44,Gil K, New York City , 35-49 , Male    
45,Ryan M, Manhattan , 25-34 , Male  
46,SW, Brooklyn , 25-34 , Female  
47,Brendon NYC, New York City , 25-34 , Male      
48,Vicki 6143, Union City , 65+ , Female  
49,MnmFields, New York City , 25-34 , Female  
50,Elisha, Brooklyn , 35-49 , Female  
51,Robert Sholiton,,,
52,Doug Marino,,,
53,Jenna the Musical, New York City , 18-24 , Female     
54,Sharon G, Brooklyn , 50-64 , Female  
55,Adam G123, New York City , 35-49 , Male  
56,Linda T, Bensonhurst , 50-64 , Female  
57,Margaret 3, New York City , 65+ , Female  
58,ABG, New York City , 25-34 , Male  
59,Adam 11, Manhattan , 35-49 , Male  
60,Shira 6053, New York City , 50-64 , Female  
61,Macrae McD, New York City , 25-34 , Female       
62,Jolee C, Brooklyn , 18-24 , Female     
63,Dianne 2, Madison ,, Female
64,Natasha S, New York City , 25-34 , Female  
65,Mama Rose, New York City , 50-64 , Female  
66,Andrew 4, Wethersfield , 50-64 , Male    
67,Ellen D, East Brunswick , 50-64 , Female  
68,Ashowgoer, New York City , 35-49 , Male  
69,banksdn, Cliffside Park , 65+ , Male  
70,Patricia R 6138, Hutchinson,,
71,THEATER LOVER 4 EVER, Manhattan ,, Female
72,dreammaker, Borough of Bronx , 50-64 , Female  
73,Petewk87, Boston , 25-34 , Male     
74,Frank 4, London , 50-64 , Male  
75,StinkyLulu, 35-49 ,, Male
76,Mary M 2, New York City ,, Female
77,Kate FC, Ewing , 35-49 , Female  
78,J 6, Manhattan , 18-24 , Male  
79,Curious, Sayreville , 18-24 , Male  
80,Jess for short, Borough of Bronx , 25-34 , Female  
81,Suzanne 2, Point Pleasant , 50-64 , Female  
82,argonaut, Brooklyn , 25-34 , Female  
83,jane 6048, Ocean Acres , 65+ , Female  
84,Bette T, New York City , 50-64 , Female  
85,Bill 8, Manhattan , 35-49 , Male  
86,Ry Loves NYC, New York City , 25-34 , Male  
87,Joseph 2, New York City , 65+ , Male  
88,jufu, New York City , 25-34 , Female    
89,Tsar, Borough of Bronx , 35-49 , Male  
90,Emily 6111, East New York , 35-49 , Female  
91,DD, New York City , 50-64 , Male  
92,Tony 3, Bayonne , 65+ , Female  
93,Marvin 2, New York City , 50-64 , Female  
94,Jish, New York City , 35-49 , Female  
95,Marlene 5, Borough of Queens ,, Female
96,Buzzy, Elmont , 65+ , Male    
97,M 608343, Hoboken,,
98,Jeff S, New York City , 25-34 , Male     
99,JackB, New York City , 18-24 , Male  
100,Donald 9, Long Island City , 50-64 , Male  
101,BeatnikPlaywright, New York City , 35-49 , Male      
102,JANET Z 6156, Manhattan , 50-64 , Female    
103,Robbie, Manhattan ,, Male
104,Places Please, Manhattan ,, Female
105,Ricky D 6094, New York City , 25-34 , Male  
106,Randy, Manhattan , 50-64 , Male     
107,Wish I Could See Them All, Syosset , 50-64 , Male    
108,Sarah Mac NYC, New York City , 35-49 , Female  
109,Laura 36, Long Island City , 65+ , Female  
110,Susan C, Borough of Queens , 50-64 , Female  
111,Roger 6083, New York City , 50-64 , Female  
112,DeeCee, New York City , 50-64 , Female  
113,Molly 2, New York City ,, Female
114,Linda 22, Hutchinson , 65+ , Female  
115,Er S, Brooklyn , 25-34 , Male    
116,Zacharyyy, New York City , 35-49 , Male  
117,PJ 6305, Borough of Queens,,
118,Paul Mcdonald, New York City, ,
119,Megs, Brooklyn ,, Female
120,Michali B, Brooklyn , 25-34 , Female  
121,Becky 22, Rye , 50-64 , Male  
122,Shanphelia, White Plains , 35-49 , Female     
123,Harriet, Brooklyn,,
124,Flynn, Fort Pierce , 25-34 , Female  
125,Zahra, Mahwah,,
126,Karen 7, Scarsdale , 35-49 , Female  
127,Megan M 6124, Tempe,,
128,Marcia W 6133, South Plainfield ,, Female
129,Cathy 6070, Massapequa , 35-49 , Female  
130,SheBakesNYC, New York City , 35-49 , Female     
131,MD, Jersey City , 35-49 , Male  
132,Donna 6199, New York City , 50-64 , Female  
133,Bill H 2, Fort Lee , 50-64 , Male  
134,Denis S, Ossining , 65+ , Male  
135,Nycben, New York City , 35-49 , Male    
136,Doug Anderson, New York City , 65+ , Male  
137,Jenny 18, Acton , 25-34 , Female  
138,Julie JT, Union , 35-49 , Female  
139,peanutgallery, New York City , 25-34 , Female  
140,PC, Manhattan , 50-64 , Female  
141,Eileen 24, Smithtown , 50-64 , Female  
142,maxonstandby, New York City , 18-24 , Female  
143,Olivia RF, Maplewood , 18-24 , Male  
144,Jenni S, Washington D.C., 25-34,Female  
145,Jake S 6083, South Burlington , 18-24 , Male  
146,Matt502, Long Island City , 18-24 , Female  
147,TheatreAddict, Washington D.C., 50-64,Male  
148,Catherine 6062, Long Island City , 65+ , Female  
149,Richard 606223, Brooklyn , 65+ , Male  
150,Betsy 5, Paramus , 50-64 , Female  
151,TooFrank, New York City , 35-49 , Male       
152,Carrie, Brooklyn , 50-64 , Female  
153,JAMES L 6154, Manhattan , 50-64 , Female  
154,Christopher C 2, Jamaica Plain , 50-64 , Male  
155,Stella B, Ithaca , 18-24 , Female  
156,JA 6146, Manhattan , 35-49 , Female  
157,Bml59, White Plains , 50-64 , Male  
158,Sandra C 6125, Lindenhurst , 50-64 , Female  
159,Jacob Rivera-Sanchez, Fort Worth , 18-24 , Female       
160,jim 623167, Wantagh , 50-64,  
161,LaraIanni, Long Island City,,
162,Lara 6217, Manhattan,,
163,Hey It's CDUBS, New York City , 25-34 , Male     
164,Madison Genovese, Borough of Bronx , 25-34 , Female  
165,Gabriel S, West New York,,
166,Mark 6076, Scarsdale,,
167,James T 6203, Manhattan ,, Male
168,Georgia W 6137, Manhattan,,
169,BrdwyBear, New York City , 50-64 , Male  
170,Rhonda 6, Philadelphia , 50-64 , Female  
171,ERIC P 612445, Manhattan , 35-49 , Male  
172,IRWYN A, Peekskill,,
173,Derek 2, Bridgewater , 18-24 , Male  
174,Mind Opened, New York City , 25-34 , Male  
175,Joe R, Amsterdam , 18-24 , Male  
176,Hannah 30, Houston , 25-34 , Female  
177,Ant, 25-34 ,, Male
178,Emily Hoffert, Mahwah , 18-24 , Female  
179,Crocosmia, Syosset , 18-24 , Male  
180,Maria 2, Framingham Center , 25-34 , Female    
181,Denise H 6146, New York City , 50-64 , Female  
182,Sarah 7007, Hoboken,,
183,Jill 6273, Ypsilanti,,
184,Amy 6267, Manhattan,,
185,Hector V, Manhattan,,
186,David Z, Hutchinson,,
187,EmilyMacLeod, Northampton,,
188,KC 6241, Fort Lee,,
189,Melissa S 6070, Long Island City,,
190,Elaine H 6227, Hutchinson,,
191,Mark 18, Muncie , 50-64 , Male  
192,Dan C, Manhattan,,
193,Chang, Long Island City,,
194,Ryan B 6200, Cliffside Park,,
195,Jeff 6193, Long Island City,,
196,LaCornista, Manhattan , 50-64,  
197,GERALD H, Billings,,
198,Charlotte W, Manhattan , 25-34 , Female  
199,AntiReviewer, Brooklyn,,
200,Jason B 6154, New York City , 35-49 , Female  
201,Robin 6053, Wilmington,,
202,Member 70404412, Middletown,,
203,Kaylee Rowen, New York City , 18-24 , Female  
204,Sara 6339, Richmond,,
205,Dean M 6287, Manhattan,,
206,Natalie T 6217, Laurel,,
207,RobertEddy, Coral Gables , 18-24 , Male  
208,STEVE W 6156, Bridgeport,,
209,Kathy 6084, Murray,,
210,DFresh, Manhattan,,
211,linda 6321, Trumbull,,
212,Remi S 6308, Westbury,,
213,Kathy 6293, Manhattan,,
214,JackBamberger, Cooper City,,
215,Phoenix, Long Island City,,
216,Jen L 6230, Hartford,,
217,Colie 6228, Fort Lee,,
218,Benjamin M 6226, Somerville,,
219,Ronni 4, Clifton,,
220,Cathleen 6183, Manhattan,,
221,Jeremy 6068, Yonkers , 50-64 , Female  
222,Mary 18, Manhattan,,
223,Susan 4, Hoboken,,
224,Lawrence 6144, Farmington Hills,,
225,TheaterBuff, Manhattan , 50-64 , Female  
226,John Francis, New York City , 18-24 , Male    
227,Rodash, Manhattan , 65+ , Male      
228,Chatter, Manhattan,,
229,Vince 2, Brooklyn , 65+ , Male  
230,Sarah J, Hutchinson , 25-34,  
231,Carolyn 6125, Manhattan , 35-49 , Female  
232,donna 11, New York City , 50-64 , Female  
233,Darrel, 50-64 ,, Male
234,Kurtal, Springfield , 35-49 , Female  
235,don, Coney Island ,, Female
236,Douglas Marino, New York City , 35-49 , Male      
237,moonchange, Manhattan , 25-34 , Female  
238,Phillip L, Floral Park,,
239,PATRICIA 3, Manhattan , 65+ , Female  
240,AustinYourFace, New York City , 25-34 , Male  
241,Cara 6124, Long Island City , 25-34 , Female  
242,Ben C, New York City , 25-34 , Female     
243,MQ, New York City , 18-24 , Male  
244,Tim F, Hutchinson,,
245,Melissa 6083, Manhattan , 50-64 , Female  
246,SaraLynnIanni, New York City , 25-34 , Female  
247,Donald 6082, Boston , 50-64 , Male  
248,spurrbe, Long Island City , 25-34 , Female  
249,Tom R, Brooklyn,,
250,Dorothy 7, Madison,,
251,CloudNin3, Manhattan , 25-34 , Other  
252,Morgan 6142, Manhattan,,
253,Lily C., New York City , 25-34 , Female  
254,Karen S 6138, Bensonhurst,,